game|mechanics|theme|min_players|max_players|min_best|max_best|min_time|max_time|learning_complexity|playing_complexity|expansion|co_op|team|legacy|favorite|play_more|blurb
One Night Revolution|Deception|Cyberpunk|3|10|5|8|15|30|2|2|||Team||||Work out what happened when everyone’s eyes were closed.
Codenames|Deduction|Secret Agents|4|10|6|10|15|30|1|1|||Team||||Communicate secret messages with a single clue that applies to many words.
Codenames Pictures|Deduction|Secret Agents|4|10|6|10|15|30|1|1|||Team||||Codenames, but with pictures instead of words.
Monikers|Party|Abstract|4|16|6|12|30|60|1|1|||Team||Favorite||Describe famous people using an increasingly limited set of tools.
Secret Hitler|Deception|Politics|5|10|8|10|45|60|1|1|||Team||||Pass liberal or fascist laws, without knowing who’s on your side.
Two Rooms and a Boom|Deception|Secret Agents|6|32|8|16|15|30|2|2|Expansion||Team||Favorite|Play More|Swap hostages between two rooms to save or kill the president.
Jet Lag: Hide+Seek|Travel|Abstract|2|6|3|6|240|7200|2|4|||Team|||Play More|A real-world game played on public transit.
Daybreak|Strategy|Climate Change|1|4|2|4|60|120|3|4||Co-Op||||Play More|Work together to solve climate change.
Sushi Go Party!|Drafting|Sushi|2|8|4|6|15|30|2|2|Expansion||||||Grab conveyor-belt sushi to make delicious combos!
Hot Streak|Gambling|Mascot Races|2|99|3|8|15|30|1|2||||||Play More|Bet on a wild and wacky mascot race!
Arkham Noir|Deduction|Detectives|1|1|1|1|30|30|2|3|||||||Solve mysteries inspired by Lovecraftian horror.
Decodables|Party|Words|3|8|3|5|15|30|1|1|||||||Solve visual word puns.
Sagrada|Dice Drafting|Stained Glass|1|6|2|6|30|45|2|2|Expansion||||||Draft dice to build beautiful stained glass windows.
Molly House|Card Game|Queer Joy|1|5|3|5|60|180|4|4||Co-Op||||Play More|
